1720276876.093210 client started (157705): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1720276876.093226 on Linux 6.9.3-76060903-generic #202405300957~1718348209~22.04~7817b67 SMP PREEMPT_DYNAMIC Mon J
1720276876.093229 using libevent 2.1.12-stable (poll); ncurses 6.3
1720276876.093242 flags are 0x18010000
1720276876.093244 socket is /tmp/tmux-1000/default
1720276876.093255 trying connect
1720276876.093268 connect failed: No such file or directory
1720276876.093275 lock file is /tmp/tmux-1000/default.lock
1720276876.093296 flock succeeded
1720276876.093298 got lock (6)
1720276876.093307 trying connect
1720276876.093314 connect failed: No such file or directory
1720276876.093544 add peer 0x5b12572070f0: 7 ((nil))
1720276876.093860 sending message 100 to peer 0x5b12572070f0 (4 bytes)
1720276876.093863 sending message 111 to peer 0x5b12572070f0 (8 bytes)
1720276876.093866 sending message 101 to peer 0x5b12572070f0 (15 bytes)
1720276876.093867 sending message 109 to peer 0x5b12572070f0 (4 bytes)
1720276876.093869 sending message 102 to peer 0x5b12572070f0 (11 bytes)
1720276876.093872 sending message 108 to peer 0x5b12572070f0 (73 bytes)
1720276876.093874 sending message 112 to peer 0x5b12572070f0 (58 bytes)
1720276876.093876 sending message 112 to peer 0x5b12572070f0 (5 bytes)
1720276876.093878 sending message 112 to peer 0x5b12572070f0 (5 bytes)
1720276876.093880 sending message 112 to peer 0x5b12572070f0 (6 bytes)
1720276876.093882 sending message 112 to peer 0x5b12572070f0 (6 bytes)
1720276876.093884 sending message 112 to peer 0x5b12572070f0 (11 bytes)
1720276876.093886 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.093888 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.093890 sending message 112 to peer 0x5b12572070f0 (14 bytes)
1720276876.093892 sending message 112 to peer 0x5b12572070f0 (19 bytes)
1720276876.093893 sending message 112 to peer 0x5b12572070f0 (11 bytes)
1720276876.093895 sending message 112 to peer 0x5b12572070f0 (10 bytes)
1720276876.093897 sending message 112 to peer 0x5b12572070f0 (15 bytes)
1720276876.093899 sending message 112 to peer 0x5b12572070f0 (21 bytes)
1720276876.093901 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.093902 sending message 112 to peer 0x5b12572070f0 (7 bytes)
1720276876.093904 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.093906 sending message 112 to peer 0x5b12572070f0 (7 bytes)
1720276876.093908 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.093910 sending message 112 to peer 0x5b12572070f0 (9 bytes)
1720276876.093912 sending message 112 to peer 0x5b12572070f0 (21 bytes)
1720276876.093914 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.093916 sending message 112 to peer 0x5b12572070f0 (9 bytes)
1720276876.093918 sending message 112 to peer 0x5b12572070f0 (16 bytes)
1720276876.093920 sending message 112 to peer 0x5b12572070f0 (13 bytes)
1720276876.093921 sending message 112 to peer 0x5b12572070f0 (9 bytes)
1720276876.093923 sending message 112 to peer 0x5b12572070f0 (9 bytes)
1720276876.093925 sending message 112 to peer 0x5b12572070f0 (12 bytes)
1720276876.093927 sending message 112 to peer 0x5b12572070f0 (8 bytes)
1720276876.093929 sending message 112 to peer 0x5b12572070f0 (8 bytes)
